date,location,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated,vaccination_start_date,period
2020-03-21,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-22,Germany,22407.0,479.0,,,2020-12-27,pre_vaccination
2020-03-23,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-24,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-25,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-26,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-27,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-28,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-29,Germany,33981.0,1459.0,,,2020-12-27,pre_vaccination
2020-03-30,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-03-31,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-01,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-02,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-03,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-04,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-05,Germany,36067.0,2273.0,,,2020-12-27,pre_vaccination
2020-04-06,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-07,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-08,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-09,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-10,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-11,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-04-12,Germany,27145.0,1878.0,,,2020-12-27,pre_vaccination
2020-04-13,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
